Job Title,Company,Location,Description,Skill,Extracted skills,Key skills
W2 Role: Python Lead Developer with AI/ML,Yochana,Washington,"Job Title : Python Lead Developer with AI/ML Exp.

Location : Washington DC (Onsite role)

Duration : Contract (W2 role)

Required Skills: Python, Numpy, Panda with any AI (Azure, Amazon & Google but good have knowledge in Azure AI & Azure API)

Job Description:

Role: Lead Developer

Python Programming: At least 5 years of hands-on experience with Python, particularly in

frameworks like FastAPI, Django, Flask, and experience using AI frameworks.

• Access Control Expertise: Strong understanding of access control models such as Role-Based

Access Control (RBAC) and Attribute-Based Access Control (ABAC).

• API and Connector Development: Experience in developing API connectors using Python for

extracting and managing access control data from platforms like Azure, SharePoint, Java, .NET,

WordPress, etc.

• AI and Machine Learning: Hands-on experience integrating AI into applications for automating

tasks such as access control reviews and identifying anomalies.

• DevOps and CI/CD: Strong familiarity with DevOps tools such as Azure DevOps and experience

with continuous integration/continuous deployment (CI/CD) practices. Experience with

PowerShell and Bash scripting for automation.

• Cloud and Microsoft Technologies: Proficiency with Azure services, Microsoft Graph API, and

experience integrating Python applications with Azure for access control reviews and reporting.

• Reporting and Visualization: Experience using reporting libraries in Python (Pandas, Matplotlib,

Plotly, Dash) to build dashboards and reports related to security and access control metrics.

• Communication Skills: Ability to collaborate with various stakeholders, explain complex

technical solutions, and deliver high-quality solutions on time.

• PlainID: Experience or familiarity with PlainID platforms for identity and access management.

• Azure OpenAI: Familiarity with Azure OpenAI technologies and their application in access

control and security workflows.

• Power BI: Experience with Microsoft Power BI for data visualization and reporting.

• Agile Methodologies: Experience working in Agile environments and familiarity with Scrum

methodologies for delivering security solutions.",python,"['python', 'azure']","python, azure"
Python Senior Software Engineer,Walmart,Washington,"Position Summary...

What you'll do...

As a part of Walmart Global Tech, you’ll build industry defining reusable customer and partner facing services and products to lead differentiated experiences and revenue. You will be in the unique position to be of service to both our customers (1P as well as 3P) and our associates as a member of this organization supporting all segments of Walmart. If you are the type of person who feels a personal stake in everything that you work on, has a love for data, enjoys solving complex problems, has a passion for privacy, knows how to foster strong relationships and build trust, and works for the success of the entire team.

About Team:
Our team works closely with our US stores and eCommerce business to better serve customers by empowering team members, stores, and merchants with technological innovation. From groceries and entertainment to sporting goods and crafts, Walmart U.S. offers an extensive selection that our customers value, whether they shop online at Walmart.com, through one of our mobile apps, or in-store. Focus areas include customers, stores and employees, in-store service, merchant tools, merchant data science, and search and personalization.

What you'll do:
• Design, build, and maintain high-performance front-end applications for our 1P and 3P customers.
• Develop robust, maintainable, reusable code for managing functionality, configuration, deployment, monitoring, performance, scalability, availability, security, and alerting for software test, integration, and production environments.
• Plan and implement a series of steps which potentially includes reconfiguration, integration, removal, or addition of application components to enhance the application's functionality, resiliency, usability, and security.
• Understand the Business/Stakeholder/Technical requirements and assist in analyzing the existing solutions to address the needs. Assist in creation of simple, modular, extensible functional design for the product/solution in adherence to the requirements.
• Assess gaps/ updates/ modifications between the customer/business expectations and the existing product/solutions.
• Analyze defects from past projects/solutions to avoid recurrence of similar defects.
• Analyze system performance impacting the complete product for non-functional requirements like reliability, operability, performance efficiency and security. Troubleshoot performance and availability bottlenecks for the application.
• Develop, maintain, and enhance automated test cases (adopting Shift Left practice) and deployment procedures.
• Follow coding and design best practices developed by the teams and contribute towards their continuous improvement.
• Plan Hardware Capacity for high traffic business Events.
• Design Build and maintain Observability aspects of application.
• Review Peer Code and help create a culture of continuous improvements on the architecture.
• Work with relevant stakeholders on launching AB tests for different functionalities getting rolled out.

What you'll bring:
• Experience in creating user interfaces using appropriate and relevant technologies (e.g., HTML 5 coding, CSS (Cascading Style Sheets) libraries like Bootstrap, etc.) using best practices and appropriate design patterns.
• Relevant front end programming experience in relevant languages and frameworks (e.g., Java, Python, JavaScript, Spring, Node, React, Angular etc.)
• Experience integrating with scalable back-end services (e.g., REST / graph-QL).
• Experience in functional, integration and E2E (End 2 End) testing tools and practices.
• Experience with code repositories and version control practices.
• Experience with CI/CD pipelines and best practices. Automated deployment experience is a plus.
• Experience in software quality and operational excellence practices.
• Experience in agile development methodology.
• Good analytical and problem-solving skills.

About Walmart Global Tech
Imagine working in an environment where one line of code can make life easier for hundreds of millions of people. That’s what we do at Walmart Global Tech. We’re a team of software engineers, data scientists, cybersecurity expert's and service professionals within the world’s leading retailer who make an epic impact and are at the forefront of the next retail disruption. People are why we innovate, and people power our innovations. We are people-led and tech-empowered. We train our team in the skillsets of the future and bring in experts like you to help us grow. We have roles for those chasing their first opportunity as well as those looking for the opportunity that will define their career. Here, you can kickstart an illustrious career in tech, gain new skills and experience for virtually every industry, or leverage your expertise to innovate at scale, impact millions and reimagine the future of retail.

Flexible, hybrid work:
We use a hybrid way of working that is primarily in the office coupled with virtual when not onsite. Our campuses serve as a hub to enhance collaboration, bring us together for purpose and deliver on business needs. This approach helps us make quicker decisions, remove location barriers across our global team and be more flexible in our personal lives.

#MPAcceleration

At Walmart, we offer competitive pay as well as performance-based bonus awards and other great benefits for a happier mind, body, and wallet. Health benefits include medical, vision and dental coverage. Financial benefits include 401(k), stock purchase and company-paid life insurance. Paid time off benefits include PTO (including sick leave), parental leave, family care leave, bereavement, jury duty, and voting. Other benefits include short-term and long-term disability, company discounts, Military Leave Pay, adoption and surrogacy expense reimbursement, and more.

‎

‎

‎
You will also receive PTO and/or PPTO that can be used for vacation, sick leave, holidays, or other purposes. The amount you receive depends on your job classification and length of employment. It will meet or exceed the requirements of paid sick leave laws, where applicable.

‎

For information about PTO, see https://one.walmart.com/notices.

‎

‎
Live Better U is a Walmart-paid education benefit program for full-time and part-time associates in Walmart and Sam's Club facilities. Programs range from high school completion to bachelor's degrees, including English Language Learning and short-form certificates. Tuition, books, and fees are completely paid for by Walmart.

‎
Eligibility requirements apply to some benefits and may depend on your job classification and length of employment. Benefits are subject to change and may be subject to a specific plan or program terms.

‎

For information about benefits and eligibility, see One.Walmart.

‎
The annual salary range for this position is $108,000.00-$216,000.00

‎
Additional compensation includes annual or quarterly performance bonuses.

‎
Additional compensation for certain positions may also include:

‎

‎
- Stock

‎

‎

Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Option 1: Bachelor's degree in computer science, computer engineering, computer information systems, software engineering, or related area and 3 years’ experience in software engineering or related area.Option 2: 5 years’ experience in software engineering or related area.

Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.

Master’s degree in Computer Science, Computer Engineering, Computer Information Systems, Software Engineering, or related area and 1 year's experience in software engineering or related area., We value candidates with a background in creating inclusive digital experiences, demonstrating knowledge in implementing Web Content Accessibility Guidelines (WCAG) 2.2 AA standards, assistive technologies, and integrating digital accessibility seamlessly. The ideal candidate would have knowledge of accessibility best practices and join us as we continue to create accessible products and services following Walmart’s accessibility standards and guidelines for supporting an inclusive culture.

Primary Location...

10790 PARKRIDGE DR. SUITE 200, RESTON, VA 20191, United States of America",python,"['css', 'html']","css, html"
Python Developer II (11412),Inabia Software & Consulting Inc.,Washington,"This role is open to candidates authorized to work in the U.S. without sponsorship now or in the future. No C2C. To be considered, please submit an updated resume (maximum 3 pages) in MS Word format, ensuring consistent font size and proper grammar.

4 DAYS ONSITE IN DC
ONLY SEND LOCAL TO DMV AREA
Rate: $46 - $53/hr

Job Summary: We are seeking a highly skilled and experienced Python Developer with Linux skills to join our dynamic team. The ideal candidate will have a deep understanding of Python programming, extensive experience with Linux systems, and a proven track record of developing and maintaining complex software applications.

Key Responsibilities:
• Design, develop, and maintain high-quality Python applications.
• Collaborate with cross-functional teams to define, design, and ship new features.
• Write clean, maintainable, and efficient code.
• Troubleshoot and debug applications to optimize performance.
• Implement security and data protection solutions.
• Integrate user-facing elements developed by front-end developers with server-side logic.
• Develop and maintain automated tests to ensure code quality.
• Participate in code reviews and provide constructive feedback to team members.
• Stay up-to-date with the latest industry trends and technologies to ensure our applications remain current and competitive.
• Manage and configure Linux servers for development, testing, and production environments.
• Automate deployment and management of applications on Linux servers.
• Monitor and optimize system performance, reliability, and security.

Qualifications:
• Strong proficiency in Python, with a good understanding of its ecosystems.
• Extensive experience with Linux operating systems, including system administration and shell scripting.
• Familiarity with web frameworks such as Django or Flask.
• Experience with relational databases (e.g., Oracle, MSSQL).
• Knowledge of front-end technologies, such as JavaScript, HTML5, and CSS3.
• Experience with version control systems, such as Git.
• Strong problem-solving skills and the ability to work independently and as part of a team.
• Excellent communication and collaboration skills.
• Experience with cloud platforms (e.g., AWS, Azure, Google Cloud) is a plus.
• Familiarity with containerization technologies (e.g., Docker, Kubernetes) is a plus.

Inabia is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, please let our hiring team know.

EGWIBBs3cn",python,"['linux', 'python', 'django']","linux, python, django"
Python/R Programmer - Entry,SynergisticIT,Washington,"Are you passionate about coding or technology and ready to make your mark in tech? For more than 14 years, SynergisticIT has been helping aspiring developers like you excel in the tech industry. We focus on equipping you with the skills and experience needed to not only secure a job but to thrive in your career!
Why Partner with SynergisticIT?
• Customized inputs to achieve the desired output :designed with industry needs in mind, ensuring you're equipped with the most sought-after skills.
• Exclusive Opportunities: Our extensive network allows you to connect with leading tech firms.
• Outstanding Outcomes: Many of our candidates land multiple job offers, often with starting salaries of $100k or more!
• Synergisticit Pics /Salaries of Successful Candidates

Synergisticit at Oracle Cloudworld 2023

Synergisticit at Gartner Data & Analytics summit

Why do Tech Companies not Hire recent Computer Science Graduates | SynergisticIT

Technical Skills or Experience? | Which one is important to get a Job? | SynergisticIT

Who Should Apply? We're looking for recent grads in Mathematics, Statistics , Computer Science or Engineering or candidates with gaps in their career or people wanting to switch careers into tech. SynergisticIT is committed to supporting your journey!
Preferred SKILLS For Java /Full stack/Devops Positions
Associate or Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT
Knowledge of Core Java , javascript , C++ or software programming
Spring boot, Microservices, Docker, Jenkins, Github, Kubernates and REST API's experience
For data Science/Data Analyst/AI/Machine learning Positions
Preferred SKILLS
Associate or Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT, Statistics, Mathematics or having good logical aptitude
Knowledge of Statistics, Gen AI, LLM, Sagemaker, Python, Computer Vision, data visualization tools
Candidates lacking technical skills or relevant experience can research our Job Placement Programs which can assist in landing a Job
If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.
No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates

Embrace Your Future! We also assist with F1 OPT to transition into H1B and Green Card byproviding comprehensive support. All positions are open to candidates of all visa types and US citizens.
Are you ready to make an impact?",python,"['java', 'c++', 'javascript']","java, c++, javascript"
Python Developer (Entry Level),SynergisticIT,Washington,"The Job Market is Challenging due to almost 300,000 Tech Layoffs since October 2022 due to which thousands of laid off Techies are competing with existing Jobseekers. Entry level Job seekers struggle to get responses to their applications forget about getting client interviews. As the Saying goes ""when the Going gets tough the Tough get going"" Candidates who want to make a tech career they need to differentiate themselves by ensuring they have exceptional skills and technologies to be noticed by clients.

Since 2010 Synergisticit has helped Jobseekers differentiate themselves by providing candidates the requisite skills and experience to outperform at interviews and clients. Here at SynergisticIT We just don't focus on getting you a Job we make careers.

All Positions are open for all visas and US citizens

We are matchmakers we provide clients with candidates who can perform from day 1 of starting work. In this challenging economy every client wants to save $$$'s and they want the best value for their money. Jobseekers need to self-evaluate if they have the requisite skills to meet client requirements and needs. Clients now post covid can also hire remote workers which increases even more competition for jobseekers.

We at Synergisticit understand the problem of the mismatch between employer's requirements and Employee skills and that's why since 2010 we have helped 1000's of candidates get jobs at technology clients like apple, google, Paypal, western union, Client, visa, walmart lab s etc to name a few.

We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, Java Full stack developers, Python/Java developers, Data analysts/ Data Scientists, Machine Learning engineers for full time positions with clients.

Who Should Apply Recent Computer science/Engineering /Mathematics/Statistics or Science Graduates or People looking to switch careers or who have had gaps in employment and looking to make their careers in IT Industry

We assist in filing for STEM extension and also for H1b and Green card filing to Candidates

We also offer optionally Skill and technology enhancement programs for candidates who are either missing skills or are lacking Industry/Client experience with Projects and skills. Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio. If they are qualified with enough skills and have hands on project work at clients then they should be good to be submitted to clients. Shortlisting and selection is totally based on clients discretion not ours.
please check the below links to see success outcomes of our candidates

https://www.synergisticit.com/candidate-outcomes/

We regularly interact with the Top Tech companies to give our candidates a competitive advantage-Please see us exhibiting at Oracle Cloud world /Oracle Java one (Las vegas) -2023/2022 and at Gartner Data Analytics Summit (Florida)-2023

Oracle CloudWorld Event (OCW) Las Vegas 2023/ 2022 | SynergisticIT - YouTube

https://youtu.be/-HkNN1ag6Zk

https://youtu.be/Rfn8Y0gnfL8

https://www.youtube.com/watch?v=OAFOhcGy9Z8

https://www.youtube.com/watch?v=EmO7NrWHkLM

https://www.youtube.com/watch?v=NVBU9RYZ6UI

https://www.youtube.com/watch?v=Yy74yvjatVg

For preparing for interviews please visit https://www.synergisticit.com/interview-questions/

We are looking for the right matching candidates for our clients

Please apply via the job posting

REQUIRED SKILLS For Java /Full stack/Software Programmer
• Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT
• Highly motivated, self-learner, and technically inquisitive
• Experience in programming language Java and understanding of the software development life cycle
• Project work on the skills
• Knowledge of Core Java , javascript , C++ or software programming
• Spring boot, Microservices, Docker, Jenkins and REST API's experience
• Excellent written and verbal communication skills

For data Science/Machine learning Positions

REQUIRED SKILLS
• Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT
• Project work on the technologies needed
• Highly motivated, self-learner, and technically inquisitive
• Experience in programming language Java and understanding of the software development life cycle
• Knowledge of Statistics, SAS, Python, Computer Vision, data visualization tools
• Excellent written and verbal communication skills

Preferred skills: NLP, Text mining, Tableau, PowerBI, Tensorflow

If you get emails from our skill enhancement team please ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team.

No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates",python,"['java', 'c++', 'javascript', 'tensorflow']","java, c++, javascript, tensorflow"
"Software Developer (Full Stack - Python, React)","US News & World Report ,L.P.",Washington,"U.S. News & World Report is a multifaceted digital media company dedicated to helping citizens, consumers, business leaders and policy officials make important decisions in their lives. We publish independent reporting, rankings, data journalism and advice that has earned the trust of our readers and users for over 90 years. Our platforms on usnews.com include Education, Health, Money, Travel, Cars, News and 360 Reviews.

We reach millions of people monthly during moments when they are most in need of expert advice and motivated to act on that advice directly on our platforms. Our signature franchises include our “Best” series of consumer guides on colleges, graduate schools, hospitals, diets, cars, financial services and more. These guides provide an easy-to-digest list for consumers to better understand and compare when making their decisions. We continue to publish annual guides of the authoritative Best Colleges and Best Hospitals rankings on our website and in print. And our U.S. News Live flagship conferences highlight important national conversations including Healthcare of Tomorrow and Healthiest Communities.

We believe in having a broad range of talent and backgrounds at U.S. News. We strive to maintain a welcoming workplace where everyone is given an opportunity to succeed and contribute to their fullest. Learn more about our Diversity, Equity and Inclusion initiative.

Your role in helping us shape the future:

We are looking for an enthusiastic full stack Software Developer with an interest in building dynamic, data-driven products.

U.S. News empowers everyone to thrive. The developers at U.S. News have a great deal of independence and a minimum of overhead. By leveraging React.js, Python, AWS cloud, Google BigQuery, data science and other latest technologies, you’ll be driving a major transformation within U.S. News.

The successful candidate will become an influential member of a passionate, friendly, and growing team that creates web applications which reach millions of visitors monthly. Developers typically see applications through from beginning to end, working directly with project owners to create, implement, upgrade, optimize, and test features and projects.

We offer a casual, flexible, hybrid-remote work environment. Our office is located in the West End neighborhood of Washington, DC.

Are you up to the challenge?

This position requires comfort working with front-end development and web standards as well as backend technologies. Our developers thrive in a collaborative environment but also excel at solving challenges independently. We use many different technologies and operate in many different environments, and we work together with designers, analysts, stakeholders, and testers to build products as efficiently and effectively as possible. We also believe in perpetual self-improvement, and expect our employees to continue to work towards developing their own skills and the skills of those around them.",python,['aws'],aws
Python Programmer,SynergisticIT,Washington,"Are you passionate about coding or technology and ready to make your mark in tech? For more than 14 years, SynergisticIT has been helping aspiring developers like you excel in the tech industry. We focus on equipping you with the skills and experience needed to not only secure a job but to thrive in your career!
Why Partner with SynergisticIT?
• Customized inputs to achieve the desired output : designed with industry needs in mind, ensuring you're equipped with the most sought-after skills.
• Exclusive Opportunities: Our extensive network allows you to connect with leading tech firms.
• Outstanding Outcomes: Many of our candidates land multiple job offers, often with starting salaries of $100k or more!
• Synergisticit Pics /Salaries of Successful Candidates

Synergisticit at Oracle Cloudworld 2023

Synergisticit at Gartner Data & Analytics summit

Why do Tech Companies not Hire recent Computer Science Graduates | SynergisticIT

Technical Skills or Experience? | Which one is important to get a Job? | SynergisticIT

Who Should Apply? We're looking for recent grads in Mathematics, Statistics , Computer Science or Engineering or candidates with gaps in their career or people wanting to switch careers into tech. SynergisticIT is committed to supporting your journey!
Preferred SKILLS For Java /Full stack/Devops Positions
Associate or Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT
Knowledge of Core Java , javascript , C++ or software programming
Spring boot, Microservices, Docker, Jenkins, Github, Kubernates and REST API's experience
For data Science/Data Analyst/AI/Machine learning Positions
Preferred SKILLS
Associate or Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT, Statistics, Mathematics or having good logical aptitude
Knowledge of Statistics, Gen AI, LLM, Sagemaker, Python, Computer Vision, data visualization tools
Candidates lacking technical skills or relevant experience can research our Job Placement Programs which can assist in landing a Job
If you get emails from our Job Placement team and are not interested please email them or ask them to take you off their distribution list and make you unavailable as they share the same database with the client servicing team who only connect with candidates who are matching client requirements.
No phone calls please. Shortlisted candidates would be reached out. No third party or agency candidates or c2c candidates

Embrace Your Future! We also assist with F1 OPT to transition into H1B and Green Card byproviding comprehensive support. All positions are open to candidates of all visa types and US citizens.
Are you ready to make an impact?",python,"['java', 'c++', 'javascript']","java, c++, javascript"
Senior Python Developer,Zachary Piper,Arlington,"Job Summary:

Zachary Piper Solutions is seeking a Senior Python Developer to join our team on-site in Arlington, VA. The selected candidate will have a strong background in Python and C++ to support embedded systems projects. This position emphasizes oversight, compliance, and validation of embedded software rather than direct development. Prior experience with Department of Defense (DoD) or military systems is highly preferred.

Responsibilities of the Senior Python Developer:
• Lead and participate in software change control boards to manage updates and modifications.
• Analyze and assess proposed software design changes, ensuring alignment with hardware functionality and system integrity.
• Perform comprehensive audits of software systems and development processes, collaborating with prime contractors to ensure regulatory and contractual compliance.
• Validate and implement revised software designs, ensuring they meet engineering and quality benchmarks.
• Manage the software auditing process, ensuring all updates are thoroughly reviewed and meet established standards.
• Contribute to regular team meetings, offering insights into process improvements and procedural enhancements.
• Maintain objectivity when evaluating software systems and their compliance with project requirements.
• Ensure rigorous testing protocols are followed and that software meets all engineering and performance criteria.

Qualifications of the Senior Python Developer:
• 5+ years of experience in software engineering, including design, testing, and lifecycle management
• Solid grasp of agile methodologies and project management frameworks
• Proficiency in both C++ and Python programming languages
• Experience working with embedded software platforms
• Advanced proficiency in Microsoft Office tools (Excel, Word, PowerPoint)
• Willingness to travel up to 25% for critical project needs
• Strong customer orientation and collaborative mindset
• Demonstrated experience in defense or military-related software projects
• Expertise in software oversight, auditing, and lifecycle governance rather than active coding
• Familiarity with software engineering design and change control procedures
• Active Top-Secret Security Clearance
• Bachelor’s degree in Engineering or equivalent professional experience

Compensation for the Senior Python Developer:
• Salary: $140,000-$180,000 (based on relevant experience)
• Comprehensive Benefits: Medical, Dental, Vision, 401K, PTO, Holidays, Sick Leave as required by law",python,"['python', 'c++']","python, c++"
Senior Software Engineer (Python & AWS),Freddie Mac,McLean,"At Freddie Mac, our mission of Making Home Possible is what motivates us, and it’s at the core of everything we do. Since our charter in 1970, we have made home possible for more than 90 million families across the country. Continue your career journey where your work contributes to a greater purpose.

Position Overview:

Our team is seeking a Senior Software Engineer to work on our internal data platform hosted on AWS. The ideal candidate should have experience in system development and operation, along with a solid background in software engineering and familiarity with AWS.

Our Impact
• Our team manages an internal data platform that is crucial for key business operations, including prepayment model development, trading analytics, and securitization.
• We work with other teams to understand their data needs so we can design systems to meet their business objectives.
• We ensure that our systems are robust, scalable, fault-tolerant and cost effective.

Your Impact
• Design, develop and support a custom-built AWS native data platform. The infrastructure code is written in Python and uses EC2, EMR, S3, SQS, DMS, Lambda and API Gateway. We deploy changes using CloudFormation.
• Collaborate with other areas of the team to understand their infrastructure needs and enhance the system to support them.
• Design and develop new code, review existing code changes, and implement automated tests.
• Actively seek opportunities to continuously improve the technical quality and architecture to improve the product’s business value.
• Improve the product’s test automation and deployment practices to enable the team to deliver features more efficiently.
• Operate the product in production including release management and production support.

Qualifications
• At least 5 years of experience developing production software
• Strong Python skills with at least two years of experience writing production code
• At least two years of experience with Linux administration and scripting
• At least one year of experience with Amazon Web Services as a developer and administrator, especially writing CloudFormation templates. Experience working with these AWS Services: EC2, EMR, S3, SQS, Lambda, IAM, Networking services (VPCs, Security Groups, etc.), STS, SSM
• Experience with containerization technologies (Docker) and orchestration tools (Kubernetes)
• BS in Computer Science or equivalent experience
• Experience writing automated unit, integration, regression, performance and acceptance tests
• Solid understanding of software design principles

Keys to Success in this Role
• Passionate about hands-on software development
• A desire to work on all aspects of the software development lifecycle: requirements gathering, design, development, testing and operations
• Strong collaboration and communication skills (both written and verbal)
• Desire to continuously improve the team’s technical practices
• Ability to quickly learn, apply and deploy new technologies to solve emerging problems

We consider all applicants for all positions without regard to gender, race, color, religion, national origin, age, marital status, veteran status, sexual orientation, gender identity/expression, physical and mental disability, pregnancy, ethnicity, genetic information or any other protected categories under applicable federal, state or local laws. We will ensure that individuals are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Freddie Mac offers a comprehensive total rewards package to include competitive compensation and market-leading benefit programs. Information on these benefit programs is available on our Careers site.

This position has an annualized market-based salary range of $130,000 - $196,000 and is eligible to participate in the annual incentive program. The final salary offered will generally fall within this range and is dependent on various factors including but not limited to the responsibilities of the position, experience, skill set, internal pay equity and other relevant qualifications of the applicant.",python,"['linux', 'python', 'aws']","linux, python, aws"
React Developer (Always Recruiting),"Dev Technology Group, Inc.",Washington,"Dev's Talent Network is designed to create a network of talented applicants who are interested in working for Dev Technology and are waiting for a job opening that matches their skills and experience. Here you will find positions we are ""always recruiting"" as well as an opportunity to share your resume with Dev, even if the job position you seek is not listed here today.

The Dev Talent Network is a community of highly qualified technical and management professionals recognized by Dev to demonstrate strong alignment with our company culture. The Dev Talent Network is comprised of candidates, referrals, Dev alumni, and fellow colleagues with whom we have worked in the past.

We’re excited to evolve the Dev Talent Network so our members stay connected with Dev and discover new career opportunities with us.

Dev Technology Group is looking for a React Developer. As a React.js Developer, you will be involved from conception to completion with projects that are technologically sound and aesthetically impressive.

What You'll Be Doing:
• Develop the latest user-facing features using React.js
• Use markup languages like HTML to create user-friendly web pages
• Design a modern highly responsive web-based user interface
• Build reusable components and front-end libraries for future use
• Translate designs and wireframes into high-quality code
• Optimize components for maximum performance across a vast array of web-capable devices and browsers
• Coordinate with various teams working on distinct layers
• Maintain and improve website
• Optimize applications for maximum speed
• Collaborate with back-end developers and web designers to improve usability
• Get feedback from, and build solutions for, users and customers
• Write functional requirement documents and guides
• Create quality mockups and prototypes
• Help back-end developers with coding and troubleshooting
• Ensure high-quality graphic standards and brand consistency
• Stay up-to-date on emerging technologies

Required Skills and Experience:
• Bachelor's degree in Computer Science or related field
• 5+ years Java/J2EE development
• 5+ years experience with React, Node, Angular
• Strong proficiency in JavaScript
• Thorough understanding of React.js and its core principles
• Proven work experience as a developer
• Hands-on experience with markup languages
• Experience with RESTful APIs
• Experience with HTML/CSS
• Experience with code versioning tools such as Git
• Experience with modern front-end build pipelines and tools
• Knowledge of Spring, Spring Boot, JPA, Hibernate frameworks
• Knowledge of modern authorization mechanisms
• An ability to perform well in a fast-paced environment
• Excellent analytical skills

Preferred Skills and Experience:
• SQL preferred
• PostgreSQL preferred
• Angular UI or related UI frameworks preferred
• Experience with Chef, Maven, Ansible preferred
• Experience with AWS Lambda, AWS Dynamo DB, Other AWS tools (Elastic Search, Cloud Watch, Kinesis, etc) preferred
• Typescript preferred
• **By submitting your information you agree our talent recruitment team may use your contact information to reach out to you regarding new opportunities that may be applicable to your experience.",react,"['javascript', 'react', 'aws', 'html', 'git', 'postgresql', 'sql']","javascript, react, aws, html, git, postgresql, sql"
